날짜,시도지역코드,발생건수(건)
20140228,49,5822
20140228,99,528431
20140301,11,22900
20140301,26,13967
20140301,27,12035
20140301,28,10225
20140301,29,6371
20140301,30,8331
20140301,31,6074
20140301,41,45937
20140301,42,4855
20140301,43,8141
20140301,44,10236
20140301,45,7733
20140301,46,10009
20140301,47,11407
20140301,48,13727
20140301,49,3444
20140301,99,195492
20140302,11,11014
20140302,26,5790
20140302,27,3391
20140302,28,5282
20140302,29,3094
20140302,30,4281
20140302,31,2625
20140302,41,23892
20140302,42,1792
20140302,43,3695
20140302,44,4234
20140302,45,3463
20140302,46,5043
20140302,47,3968
20140302,48,5701
20140302,49,1711
20140302,99,89014
20140303,11,128346
20140303,26,45312
20140303,27,30401
20140303,28,35739
20140303,29,17879
20140303,30,20956
20140303,31,14775
20140303,41,159741
20140303,42,17593
20140303,43,21086
20140303,44,31182
20140303,45,25771
20140303,46,25412
20140303,47,34246
20140303,48,43968
20140303,49,6993
20140303,99,659690
20140304,11,77189
20140304,26,29912
20140304,27,19401
20140304,28,22396
20140304,29,11928
20140304,30,13927
20140304,31,9684
20140304,41,100327
20140304,42,11459
20140304,43,13823
20140304,44,20118
20140304,45,16695
20140304,46,17464
20140304,47,22213
20140304,48,27094
20140304,49,4898
20140304,99,418719
20140305,11,77514
20140305,26,29163
20140305,27,19134
20140305,28,21707
20140305,29,11443
20140305,30,13584
20140305,31,9542
20140305,41,97428
20140305,42,10414
20140305,43,13012
20140305,44,18789
20140305,45,15814
20140305,46,16971
20140305,47,21418
20140305,48,26946
20140305,49,4965
20140305,99,408030
20140306,11,78666
20140306,26,30118
20140306,27,19592
20140306,28,22800
20140306,29,12248
20140306,30,14157
20140306,31,10174
20140306,41,101484
20140306,42,11588
20140306,43,12930
20140306,44,19647
20140306,45,16967
20140306,46,17347
20140306,47,21812
20140306,48,28168
20140306,49,5170
20140306,99,423057
20140307,11,85461
20140307,26,32378
20140307,27,20710
20140307,28,23818
20140307,29,12449
20140307,30,14393
20140307,31,10581
20140307,41,106708
20140307,42,12571
20140307,43,13583
20140307,44,20877
20140307,45,17708
20140307,46,18011
20140307,47,23218
20140307,48,29309
20140307,49,5313
20140307,99,447281
20140308,11,83248
20140308,26,32614
20140308,27,21540
20140308,28,24775
20140308,29,13898
20140308,30,15607
20140308,31,11030
20140308,41,111029
20140308,42,11876
20140308,43,13256
20140308,44,19919
20140308,45,16863
20140308,46,16334
20140308,47,21377
20140308,48,28748
20140308,49,4843
20140308,99,447168
20140309,11,9181
20140309,26,4883
20140309,27,3168
20140309,28,4382
20140309,29,3027
20140309,30,4311
20140309,31,2809
20140309,41,22906
20140309,42,1789
20140309,43,3557
20140309,44,4636
20140309,45,3574
20140309,46,5317
20140309,47,3783
20140309,48,5072
20140309,49,2104
20140309,99,84552
20140310,11,84192
20140310,26,26232
20140310,27,17905
20140310,28,20623
20140310,29,14739
20140310,30,13476
20140310,31,11476
20140310,41,98080
20140310,42,11337
20140310,43,12739
20140310,44,15721
20140310,45,19908
20140310,46,19581
20140310,47,24997
20140310,48,24851
20140310,49,4338
20140310,99,420390
20140311,11,93357
20140311,26,41177
20140311,27,24674
20140311,28,29370
20140311,29,14044
20140311,30,18072
20140311,31,12501
20140311,41,130047
20140311,42,16417
20140311,43,16051
20140311,44,27159
20140311,45,20112
20140311,46,20253
20140311,47,26230
20140311,48,37396
20140311,49,6858
20140311,99,533993
20140312,11,76597
20140312,26,30390
20140312,27,18689
20140312,28,22487
20140312,29,11219
20140312,30,13185
20140312,31,10320
20140312,41,99504
20140312,42,12294
20140312,43,12167
20140312,44,18766
20140312,45,15777
20140312,46,16618
20140312,47,21312
20140312,48,27051
20140312,49,5413
20140312,99,411948
20140313,11,79817
20140313,26,30905
20140313,27,19414
20140313,28,24014
20140313,29,12062
20140313,30,14770
20140313,31,10093
20140313,41,108439
20140313,42,12523
20140313,43,13541
20140313,44,20876
20140313,45,16911
20140313,46,18032
20140313,47,21830
20140313,48,27928
20140313,49,5809
20140313,99,437179
20140314,11,87401
20140314,26,35064
20140314,27,22453
20140314,28,25838
20140314,29,13049
20140314,30,15572
20140314,31,11879
20140314,41,114721
20140314,42,14108
20140314,43,14236
20140314,44,22358
20140314,45,18542
20140314,46,18165
20140314,47,24825
20140314,48,31759
20140314,49,5767
20140314,99,475976
20140315,11,86706
20140315,26,34633
20140315,27,22828
20140315,28,26632
20140315,29,13808
20140315,30,16700
20140315,31,12128
20140315,41,119306
20140315,42,12845
20140315,43,14078
20140315,44,21309
20140315,45,17392
20140315,46,16793
20140315,47,22411
20140315,48,30391
20140315,49,5293
20140315,99,473517
20140316,11,10754
20140316,26,6000
20140316,27,3646
20140316,28,6047
20140316,29,3241
20140316,30,4541
20140316,31,3051
20140316,41,26212
20140316,42,2069
20140316,43,3810
20140316,44,5084
20140316,45,3761
20140316,46,5466
20140316,47,4217
20140316,48,5874
20140316,49,2104
20140316,99,95937
20140317,11,120244
20140317,26,48732
20140317,27,31259
20140317,28,36350
20140317,29,17519
20140317,30,21968
20140317,31,16764
20140317,41,163530
20140317,42,19719
20140317,43,19454
20140317,44,30810
20140317,45,24897
20140317,46,24158
20140317,47,34965
20140317,48,44818
20140317,49,7840
20140317,99,663338
20140318,11,82185
20140318,26,34112
20140318,27,22376
20140318,28,25379
20140318,29,13249
20140318,30,15652
20140318,31,12054
20140318,41,113711
20140318,42,13477
20140318,43,14299
20140318,44,22183
20140318,45,18268
20140318,46,18460
20140318,47,24628
20140318,48,31095
20140318,49,6055
20140318,99,467417
20140319,11,83073
20140319,26,34326
20140319,27,22397
20140319,28,25298
20140319,29,12670
20140319,30,15673
20140319,31,12158
20140319,41,112006
20140319,42,12950
20140319,43,13747
20140319,44,21098
20140319,45,16656
20140319,46,17393
20140319,47,23704
20140319,48,31190
20140319,49,5509
20140319,99,460082
20140320,11,82058
20140320,26,34334
20140320,27,22252
20140320,28,26322
20140320,29,12960
20140320,30,15666
20140320,31,12016
20140320,41,115733
20140320,42,13142
20140320,43,13692
20140320,44,21632
20140320,45,17644
20140320,46,17988
20140320,47,24214
20140320,48,31329
20140320,49,5849
20140320,99,467057
20140321,11,93403
20140321,26,36679
20140321,27,23450
20140321,28,27253
20140321,29,13479
20140321,30,16534
20140321,31,12539
20140321,41,124175
20140321,42,14112
20140321,43,14483
20140321,44,22949
20140321,45,18563
20140321,46,18574
20140321,47,25713
20140321,48,32825
20140321,49,5927
20140321,99,500927
20140322,11,89371
20140322,26,35620
20140322,27,24640
20140322,28,28105
20140322,29,14614
20140322,30,17718
20140322,31,12688
20140322,41,125328
20140322,42,12642
20140322,43,14130
20140322,44,21554
20140322,45,17400
20140322,46,17115
20140322,47,23746
20140322,48,31738
20140322,49,5356
20140322,99,492013
20140323,11,9751
20140323,26,4937
20140323,27,3712
20140323,28,4811
20140323,29,3027
20140323,30,4774
20140323,31,2698
20140323,41,24705
20140323,42,1865
20140323,43,3904
20140323,44,4855
20140323,45,3603
20140323,46,5530
20140323,47,4151
20140323,48,4945
20140323,49,2156
20140323,99,89488
20140324,11,128952
20140324,26,52625
20140324,27,34165
20140324,28,38890
20140324,29,19125
20140324,30,23748
20140324,31,18177
20140324,41,175700
