이직여부,majorcat,school,area,sex,age,graduy,a001,industry,job,a010,a011,a012,a014,a016,a018,a020,a021,a116,a117,a118,a119,a122,a125,a126,a127,a128,a129,a130,a131,a132,a133,a134,a135,a136,a137,a138,a139,a140,a141,a142,a143,a144,a145,a146,a151,a153,a158,a159,a160,a161,a162,a166,a168,a281,a282,a388,e001,f001,f004,f006,f008,f009,f010,f011,f013,f170,f023,f071,f072,f074,f079,f080,f081,f082,f083,f084,f085,f086,f101,f124,f138,g001,h001,i018,i050,j021,l001,n083,k001,k042,k043,k044,k045,k046,k047,k048,k049,k050,k051,k052,k053,k055,k056,k057,q015,q016,q017,p001,p014,p016,p017,p018,p020,p024,p028z,p031z,p035,p036,p046,p039,p041,p043,p045,r023,r024,r025,r026,r027,wt
2,2,1,8,1,25.08333333,2018,2017,7,1,-1,5,1,8,2,0,1,1,5,40,0,0,220,220,3,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,6,3,3,2,1,3,1,1,1,2,2,1,2,1,2,2013,1,8,1,1,1,2013,2,1,1,4,4,3,0,20,0,80,0,0,0,1,1,2,2,2,1,2,2,2500,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,5,5,4,1,1,3,4,1,8,8,3,3,4,3,1,2640,2,2,2,100,0,0,0,1,77.15238025
2,2,1,8,1,25.16666667,2018,2019,8,7,-1,3,1,8,3,0,1,1,5,40,3,0,170,170,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,2,4,3,6,3,2,2,1,2,1,1,1,2,2,6,7,2,2,2013,1,8,1,1,1,2014,1,5,1,3,3,3,100,0,0,0,0,0,0,2,1,2,2,2,2,2,2,2000,2,2,2,4,4,5,3,4,3,4,4,4,5,5,4,4,5,4,4,4,4,1,1,3,4,1,1,8,5,4,5,3,1,3360,2,2,2,100,0,0,0,1,72.36891883
2,2,1,2,1,28.66666667,2018,2019,7,9,2,2,1,15,2,0,1,1,6,60,0,0,240,200,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,6,2,1,2,1,2,1,1,1,2,2,2,1,2,2,2009,1,15,1,1,1,2009,2,2,1,2,2,3.5,0,0,0,100,0,0,0,2,1,2,2,2,2,2,2,2400,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,4,4,4,1,1,3,5,1,5,15,5,5,2,2,1,2000,2,1,2,70,0,0,0,1,88.7759596
1,2,1,2,2,24.33333333,2017,2019,9,6,-1,2,1,2,3,0,1,1,6,54,0,0,230,220,4,2,3,3,4,2,2,4,3,2,3,3,3,3,4,3,2,2,1,6,1,4,2,1,2,1,1,1,2,2,1,2,1,1,2014,1,2,1,2,1,2015,2,1,1,4,3,3,100,0,0,0,0,0,0,2,2,1,1,2,2,2,2,2500,2,2,2,5,3,4,3,3,3,4,4,4,3,3,3,3,4,3,5,5,5,1,1,3,5,1,8,2,5,3,5,4,1,240,2,2,1,50,0,0,0,1,102.2335195
2,2,1,12,2,45.41666667,2018,2019,17,6,4,4,1,12,2,0,4,1,5.5,32,10,8,280,260,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,6,4,1,1,1,2,1,1,1,2,2,3,7,1,2,1992,1,12,1,6,1,2016,2,7,1,3,3,3,0,0,0,100,0,0,0,2,2,2,2,2,1,2,2,2400,1,2,2,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,7,7,3,2,1,2,1,12,12,3,3,10,7,3,0,2,1,1,150,20,0,50,1,89.11569117
2,2,1,1,1,24.58333333,2018,2017,14,7,9,6,1,5,4,1,1,2,5,40,10,0,225,175,4,4,4,4,4,3,4,4,3,3,5,3,4,3,4,4,3,3,3,6,2,5,2,1,3,1,1,1,3,2,2,1,1,2,2014,1,1,1,1,1,2014,2,1,1,3,4,3.3,0,30,0,70,0,0,0,1,1,2,2,2,2,2,1,2000,2,2,1,5,4,4,3,3,3,4,4,4,4,3,4,4,3,3,5,4,4,1,1,3,3,1,1,1,3,4,4,1,1,2700,2,2,2,50,70,30,15,1,36.57352692
2,2,1,9,1,25.66666667,2018,2019,7,7,8,5,1,8,2,1,1,1,5,45,0,0,300,300,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,6,3,1,2,1,3,1,1,1,2,2,1,3,1,2,2012,1,9,1,6,1,2012,2,2,1,4,2,4,25,0,0,75,0,0,0,1,1,2,2,2,1,2,2,3000,2,2,1,5,5,5,2,4,4,5,5,5,5,5,5,4,3,3,7,7,7,1,1,3,3,1,9,8,3,3,9,3,1,0,2,2,2,150,0,0,30,1,54.48982532
1,2,1,8,2,23.66666667,2018,2019,14,1,9,6,1,8,6,1,2,1,5,40,1,4,208,208,2,3,3,3,3,3,3,1,2,2,2,3,3,3,3,3,3,3,3,6,3,4,1,1,3,1,1,3,3,2,1,5,2,2,2014,1,8,1,1,2,2016,1,5,1,3,3,3.7,25,0,0,75,0,0,0,2,2,2,1,2,1,2,2,2600,2,2,1,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,5,4,1,1,3,3,1,1,8,3,3,6,2,1,500,2,2,1,75,0,0,5,1,87.76906686
2,2,1,11,2,23.16666667,2018,2019,9,1,4,4,1,8,4,0,1,1,5,40,2,2,220,220,3,3,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,6,3,4,2,1,2,1,1,1,2,2,1,3,2,2,2015,1,8,1,1,1,2015,1,-3,1,3,3,3.3,100,0,0,0,0,0,0,2,1,2,2,2,2,2,2,2000,2,2,2,4,5,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,1,1,3,4,1,8,8,3,3,6,5,1,2160,2,2,1,120,10,0,0,1,65.36887854
2,2,1,3,2,25,2018,2018,16,3,3,3,1,3,6,0,1,1,5,40,8,0,180,180,3,4,2,4,4,4,4,2,2,4,2,4,3,3,3,3,4,4,1,6,2,2,1,1,3,1,1,1,3,2,9,8,2,2,2013,1,3,1,1,2,2016,2,6,1,4,5,4,0,50,0,50,0,0,0,1,2,2,1,2,2,2,2,2400,1,2,2,5,5,5,2,3,3,5,5,5,5,5,5,5,5,5,3,4,4,1,2,1,1,1,3,3,4,3,3,1,3,1287,2,2,1,100,40,0,10,1,82.56051953
